"term","estimate","std.error","statistic","p.value"
"(Intercept)",0.0415098821672226,0.0759052313872938,0.54686457584755,0.584516865870904
"Income_2021",0.25009170633965,0.00136255929928841,183.545557591702,0
"Education_2021",0.250062297687491,0.000908988607802812,275.099484791054,0
"Housing_2021",0.249794857716257,0.000980276617462083,254.820785548237,0
"Labour_Force_Activity_2021",0.249585736444902,0.00105814003469725,235.872123027943,0
